Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Year
56.0,56.0,DEN,Devyn Marble,Iowa,2.0,44,457,97,69,29,.304,.222,.375,10.4,2.2,1.6,0.7,-0.3,-.028,-5.5,-0.4,2014
57.0,57.0,IND,Louis Labeyrie,,,,,,,,,,,,,,,,,,,2014
58.0,58.0,SAS,Jordan McRae,Tennessee,4.0,123,1696,846,225,167,.417,.355,.772,13.8,6.9,1.8,1.4,1.7,.048,-2.1,0.0,2014
59.0,59.0,TOR,Xavier Thames,San Diego State,,,,,,,,,,,,,,,,,,2014
60.0,60.0,SAS,Cory Jefferson,Baylor,2.0,58,581,205,161,16,.444,.125,.583,10.0,3.5,2.8,0.3,0.9,.071,-3.3,-0.2,2014
,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,2014
1.0,1.0,MIN,Karl-Anthony Towns,Kentucky,11.0,658,22402,15163,7301,2079,.522,.398,.839,34.0,23.0,11.1,3.2,86.6,.186,4.3,35.8,2015
2.0,2.0,LAL,D'Angelo Russell,Ohio State,11.0,644,19075,11047,2158,3659,.426,.362,.793,29.6,17.2,3.4,5.7,26.4,.066,0.5,12.3,2015
3.0,3.0,PHI,Jahlil Okafor,Duke,7.0,248,4830,2566,1170,226,.542,.222,.676,19.5,10.3,4.7,0.9,7.2,.071,-2.0,0.0,2015
4.0,4.0,NYK,Kristaps PorziÅÄ£is,,10.0,510,15638,9995,3939,946,.461,.365,.830,30.7,19.6,7.7,1.9,48.9,.150,2.7,18.5,2015
5.0,5.0,ORL,Mario Hezonja,,5.0,330,6107,2284,1026,415,.417,.319,.812,18.5,6.9,3.1,1.3,3.2,.025,-2.8,-1.2,2015
6.0,6.0,SAC,Willie Cauley-Stein,Kentucky,7.0,422,9276,3675,2470,598,.544,.188,.612,22.0,8.7,5.9,1.4,23.3,.121,-0.1,4.4,2015
7.0,7.0,DEN,Emmanuel Mudiay,,6.0,302,7187,3299,884,1143,.401,.323,.744,23.8,10.9,2.9,3.8,-0.2,-.001,-3.2,-2.2,2015
8.0,8.0,DET,Stanley Johnson,Arizona,8.0,449,8879,2806,1404,679,.391,.305,.748,19.8,6.2,3.1,1.5,6.9,.037,-2.7,-1.6,2015
9.0,9.0,CHO,Frank Kaminsky,Wisconsin,8.0,413,8160,3630,1579,651,.430,.349,.746,19.8,8.8,3.8,1.6,15.9,.094,-0.2,3.7,2015
10.0,10.0,MIA,Justise Winslow,Duke,8.0,344,8906,2829,1760,889,.412,.315,.638,25.9,8.2,5.1,2.6,8.2,.044,-2.1,-0.3,2015
11.0,11.0,IND,Myles Turner,Texas,11.0,657,18903,9216,4443,841,.498,.365,.770,28.8,14.0,6.8,1.3,49.6,.126,0.8,13.2,2015
12.0,12.0,UTA,Trey Lyles,Kentucky,10.0,650,11970,4935,2826,697,.441,.347,.741,18.4,7.6,4.3,1.1,22.0,.088,-1.0,3.0,2015
13.0,13.0,PHO,Devin Booker,Kentucky,11.0,688,23679,16869,2781,3625,.465,.354,.874,34.4,24.5,4.0,5.3,53.4,.108,1.1,18.5,2015
14.0,14.0,OKC,Cameron Payne,Murray State,10.0,477,8356,3703,951,1527,.419,.368,.836,17.5,7.8,2.0,3.2,13.9,.080,-0.6,3.0,2015
15.0,15.0,ATL,Kelly Oubre Jr.,Kansas,11.0,667,18160,8897,3093,763,.439,.325,.752,27.2,13.3,4.6,1.1,25.7,.068,-1.8,0.7,2015
16.0,16.0,BOS,Terry Rozier,Louisville,10.0,665,18357,9252,2610,2337,.418,.361,.829,27.6,13.9,3.9,3.5,30.6,.080,0.2,10.1,2015
17.0,17.0,MIL,Rashad Vaughn,UNLV,3.0,139,1671,423,158,75,.337,.313,.692,12.0,3.0,1.1,0.5,-0.6,-.017,-4.7,-1.2,2015
